stop_id,stop_name,trip_id,arrival_time,departure_time,stop_sequence,shape_dist_traveled
81,Botanical Garden,3112,07:38:07,07:38:27,41,46429.664
81,Botanical Garden,3113,07:43:59,07:44:19,41,46429.664
81,Botanical Garden,3114,07:49:51,07:50:11,41,46429.664
81,Botanical Garden,3115,07:55:43,07:56:03,41,46429.664
81,Botanical Garden,3116,08:01:35,08:01:55,41,46429.664
81,Botanical Garden,3117,08:07:27,08:07:47,41,46429.664
81,Botanical Garden,3118,08:13:19,08:13:39,41,46429.664
81,Botanical Garden,3119,08:19:11,08:19:31,41,46429.664
81,Botanical Garden,3120,08:25:03,08:25:23,41,46429.664
81,Botanical Garden,3121,08:30:55,08:31:15,41,46429.664
81,Botanical Garden,3122,08:36:47,08:37:07,41,46429.664
81,Botanical Garden,3123,08:42:39,08:42:59,41,46429.664
81,Botanical Garden,3124,08:48:31,08:48:51,41,46429.664
81,Botanical Garden,3125,08:54:23,08:54:43,41,46429.664
81,Botanical Garden,3126,09:00:15,09:00:35,41,46429.664
81,Botanical Garden,3127,09:06:07,09:06:27,41,46429.664
81,Botanical Garden,3128,09:11:59,09:12:19,41,46429.664
81,Botanical Garden,3129,09:17:51,09:18:11,41,46429.664
81,Botanical Garden,3130,09:23:43,09:24:03,41,46429.664
81,Botanical Garden,3131,09:29:35,09:29:55,41,46429.664
81,Botanical Garden,3132,09:35:27,09:35:47,41,46429.664
81,Botanical Garden,3133,09:41:19,09:41:39,41,46429.664
81,Botanical Garden,3134,09:46:45,09:47:05,41,46429.664
81,Botanical Garden,3135,09:52:11,09:52:31,41,46429.664
81,Botanical Garden,3136,09:57:37,09:57:57,41,46429.664
81,Botanical Garden,3137,10:03:03,10:03:23,41,46429.664
81,Botanical Garden,3138,10:08:29,10:08:49,41,46429.664
81,Botanical Garden,3139,10:13:55,10:14:15,41,46429.664
81,Botanical Garden,3140,10:19:21,10:19:41,41,46429.664
81,Botanical Garden,3141,10:24:47,10:25:07,41,46429.664
81,Botanical Garden,3142,10:30:13,10:30:33,41,46429.664
81,Botanical Garden,3143,10:35:39,10:35:59,41,46429.664
81,Botanical Garden,3144,10:41:05,10:41:25,41,46429.664
81,Botanical Garden,3145,10:46:31,10:46:51,41,46429.664
81,Botanical Garden,3146,10:51:57,10:52:17,41,46429.664
81,Botanical Garden,3147,10:57:23,10:57:43,41,46429.664
81,Botanical Garden,3148,11:02:49,11:03:09,41,46429.664
81,Botanical Garden,3149,11:08:15,11:08:35,41,46429.664
81,Botanical Garden,3150,11:13:41,11:14:01,41,46429.664
81,Botanical Garden,3151,11:19:07,11:19:27,41,46429.664
81,Botanical Garden,3152,11:24:33,11:24:53,41,46429.664
81,Botanical Garden,3153,11:29:59,11:30:19,41,46429.664
81,Botanical Garden,3154,11:35:25,11:35:45,41,46429.664
81,Botanical Garden,3155,11:40:51,11:41:11,41,46429.664
81,Botanical Garden,3156,11:46:17,11:46:37,41,46429.664
81,Botanical Garden,3157,11:51:43,11:52:03,41,46429.664
81,Botanical Garden,3158,11:57:09,11:57:29,41,46429.664
81,Botanical Garden,3159,12:02:35,12:02:55,41,46429.664
81,Botanical Garden,3160,12:08:01,12:08:21,41,46429.664
81,Botanical Garden,3161,12:13:27,12:13:47,41,46429.664
81,Botanical Garden,3162,12:18:53,12:19:13,41,46429.664
81,Botanical Garden,3163,12:24:19,12:24:39,41,46429.664
81,Botanical Garden,3164,12:29:45,12:30:05,41,46429.664
81,Botanical Garden,3165,12:35:11,12:35:31,41,46429.664
81,Botanical Garden,3166,12:40:37,12:40:57,41,46429.664
81,Botanical Garden,3167,12:46:03,12:46:23,41,46429.664
81,Botanical Garden,3168,12:51:29,12:51:49,41,46429.664
81,Botanical Garden,3169,12:56:55,12:57:15,41,46429.664
81,Botanical Garden,3170,13:02:21,13:02:41,41,46429.664
81,Botanical Garden,3171,13:07:47,13:08:07,41,46429.664
81,Botanical Garden,3172,13:13:13,13:13:33,41,46429.664
81,Botanical Garden,3173,13:18:39,13:18:59,41,46429.664
81,Botanical Garden,3174,13:24:05,13:24:25,41,46429.664
81,Botanical Garden,3175,13:29:31,13:29:51,41,46429.664
81,Botanical Garden,3176,13:34:57,13:35:17,41,46429.664
81,Botanical Garden,3177,13:40:23,13:40:43,41,46429.664
81,Botanical Garden,3178,13:46:15,13:46:35,41,46429.664
81,Botanical Garden,3179,13:52:07,13:52:27,41,46429.664
81,Botanical Garden,3180,13:57:59,13:58:19,41,46429.664
81,Botanical Garden,3181,14:03:51,14:04:11,41,46429.664
81,Botanical Garden,3182,14:09:43,14:10:03,41,46429.664
81,Botanical Garden,3183,14:15:35,14:15:55,41,46429.664
81,Botanical Garden,3184,14:21:27,14:21:47,41,46429.664
81,Botanical Garden,3185,14:27:19,14:27:39,41,46429.664
81,Botanical Garden,3186,14:33:11,14:33:31,41,46429.664
81,Botanical Garden,3187,14:39:03,14:39:23,41,46429.664
81,Botanical Garden,3188,14:44:55,14:45:15,41,46429.664
81,Botanical Garden,3189,14:50:47,14:51:07,41,46429.664
81,Botanical Garden,3190,14:56:39,14:56:59,41,46429.664
81,Botanical Garden,3191,15:02:31,15:02:51,41,46429.664
81,Botanical Garden,3192,15:08:23,15:08:43,41,46429.664
81,Botanical Garden,3193,15:14:15,15:14:35,41,46429.664
81,Botanical Garden,3194,15:20:07,15:20:27,41,46429.664
81,Botanical Garden,3195,15:25:59,15:26:19,41,46429.664
81,Botanical Garden,3196,15:31:51,15:32:11,41,46429.664
81,Botanical Garden,3197,15:37:43,15:38:03,41,46429.664
81,Botanical Garden,3198,15:43:35,15:43:55,41,46429.664
81,Botanical Garden,3199,15:49:27,15:49:47,41,46429.664
81,Botanical Garden,3200,15:55:19,15:55:39,41,46429.664
81,Botanical Garden,3201,16:01:11,16:01:31,41,46429.664
81,Botanical Garden,3202,16:07:03,16:07:23,41,46429.664
81,Botanical Garden,3203,16:12:55,16:13:15,41,46429.664
81,Botanical Garden,3204,16:18:47,16:19:07,41,46429.664
81,Botanical Garden,3205,16:24:39,16:24:59,41,46429.664
81,Botanical Garden,3206,16:30:31,16:30:51,41,46429.664
81,Botanical Garden,3207,16:36:23,16:36:43,41,46429.664
81,Botanical Garden,3208,16:42:15,16:42:35,41,46429.664
81,Botanical Garden,3209,16:48:07,16:48:27,41,46429.664
81,Botanical Garden,3210,16:53:59,16:54:19,41,46429.664
81,Botanical Garden,3211,16:59:51,17:00:11,41,46429.664
81,Botanical Garden,3212,17:05:43,17:06:03,41,46429.664
81,Botanical Garden,3213,17:11:35,17:11:55,41,46429.664
81,Botanical Garden,3214,17:17:27,17:17:47,41,46429.664
81,Botanical Garden,3215,17:23:19,17:23:39,41,46429.664
81,Botanical Garden,3216,17:29:11,17:29:31,41,46429.664
81,Botanical Garden,3217,17:35:03,17:35:23,41,46429.664
81,Botanical Garden,3218,17:40:55,17:41:15,41,46429.664
81,Botanical Garden,3219,17:46:47,17:47:07,41,46429.664
81,Botanical Garden,3220,17:52:39,17:52:59,41,46429.664
81,Botanical Garden,3221,17:58:31,17:58:51,41,46429.664
81,Botanical Garden,3222,18:04:23,18:04:43,41,46429.664
81,Botanical Garden,3223,18:10:15,18:10:35,41,46429.664
81,Botanical Garden,3224,18:16:07,18:16:27,41,46429.664
81,Botanical Garden,3225,18:21:59,18:22:19,41,46429.664
81,Botanical Garden,3226,18:27:51,18:28:11,41,46429.664
81,Botanical Garden,3227,18:33:43,18:34:03,41,46429.664
81,Botanical Garden,3228,18:39:35,18:39:55,41,46429.664
81,Botanical Garden,3229,18:45:01,18:45:21,41,46429.664
81,Botanical Garden,3230,18:50:27,18:50:47,41,46429.664
81,Botanical Garden,3231,18:55:53,18:56:13,41,46429.664
81,Botanical Garden,3232,19:01:19,19:01:39,41,46429.664
81,Botanical Garden,3233,19:06:45,19:07:05,41,46429.664
81,Botanical Garden,3234,19:12:11,19:12:31,41,46429.664
81,Botanical Garden,3235,19:17:37,19:17:57,41,46429.664
81,Botanical Garden,3236,19:23:03,19:23:23,41,46429.664
81,Botanical Garden,3237,19:28:29,19:28:49,41,46429.664
81,Botanical Garden,3238,19:33:55,19:34:15,41,46429.664
81,Botanical Garden,3239,19:39:21,19:39:41,41,46429.664
81,Botanical Garden,3240,19:44:47,19:45:07,41,46429.664
81,Botanical Garden,3241,19:50:13,19:50:33,41,46429.664
81,Botanical Garden,3242,19:55:39,19:55:59,41,46429.664
81,Botanical Garden,3243,20:01:05,20:01:25,41,46429.664
81,Botanical Garden,3244,20:06:31,20:06:51,41,46429.664
81,Botanical Garden,3245,20:11:57,20:12:17,41,46429.664
81,Botanical Garden,3246,20:17:23,20:17:43,41,46429.664
81,Botanical Garden,3247,20:22:49,20:23:09,41,46429.664
81,Botanical Garden,3248,20:28:15,20:28:35,41,46429.664
81,Botanical Garden,3249,20:33:41,20:34:01,41,46429.664
81,Botanical Garden,3250,20:39:07,20:39:27,41,46429.664
81,Botanical Garden,3251,20:44:33,20:44:53,41,46429.664
81,Botanical Garden,3252,20:49:59,20:50:19,41,46429.664
81,Botanical Garden,3253,20:55:25,20:55:45,41,46429.664
81,Botanical Garden,3254,21:00:51,21:01:11,41,46429.664
81,Botanical Garden,3255,21:06:17,21:06:37,41,46429.664
81,Botanical Garden,3256,21:11:43,21:12:03,41,46429.664
81,Botanical Garden,3257,21:17:09,21:17:29,41,46429.664
81,Botanical Garden,3258,21:22:35,21:22:55,41,46429.664
81,Botanical Garden,3259,21:28:01,21:28:21,41,46429.664
81,Botanical Garden,3260,21:33:27,21:33:47,41,46429.664
81,Botanical Garden,3261,21:38:53,21:39:13,41,46429.664
81,Botanical Garden,3262,21:44:19,21:44:39,41,46429.664
81,Botanical Garden,3263,21:49:45,21:50:05,41,46429.664
81,Botanical Garden,3264,21:55:11,21:55:31,41,46429.664
81,Botanical Garden,3265,22:00:37,22:00:57,41,46429.664
81,Botanical Garden,3266,22:06:03,22:06:23,41,46429.664
81,Botanical Garden,3267,22:11:29,22:11:49,41,46429.664
81,Botanical Garden,3268,22:16:55,22:17:15,41,46429.664
81,Botanical Garden,3269,22:22:21,22:22:41,41,46429.664
81,Botanical Garden,3270,22:27:47,22:28:07,41,46429.664
81,Botanical Garden,3271,22:33:13,22:33:33,41,46429.664
81,Botanical Garden,3272,22:38:39,22:38:59,41,46429.664
81,Botanical Garden,3273,22:44:31,22:44:51,41,46429.664
81,Botanical Garden,3274,22:50:23,22:50:43,41,46429.664
81,Botanical Garden,3275,22:56:15,22:56:35,41,46429.664
81,Botanical Garden,3276,23:02:07,23:02:27,41,46429.664
81,Botanical Garden,3277,23:07:59,23:08:19,41,46429.664
81,Botanical Garden,3278,23:13:51,23:14:11,41,46429.664
81,Botanical Garden,3279,23:19:43,23:20:03,41,46429.664
81,Botanical Garden,3280,23:25:35,23:25:55,41,46429.664
81,Botanical Garden,3281,23:31:27,23:31:47,41,46429.664
81,Botanical Garden,3282,23:37:19,23:37:39,41,46429.664
81,Botanical Garden,3283,23:43:11,23:43:31,41,46429.664
81,Botanical Garden,3284,23:49:03,23:49:23,41,46429.664
81,Botanical Garden,3285,23:54:55,23:55:15,41,46429.664
81,Botanical Garden,3286,24:00:47,24:01:07,41,46429.664
81,Botanical Garden,3287,24:06:39,24:06:59,41,46429.664
81,Botanical Garden,3288,24:12:31,24:12:51,41,46429.664
81,Botanical Garden,3289,24:18:23,24:18:43,41,46429.664
81,Botanical Garden,3290,24:24:15,24:24:35,41,46429.664
81,Botanical Garden,6028,06:47:52,06:48:12,24,35944.73
81,Botanical Garden,6029,06:54:37,06:54:57,24,35944.73
