route_id,trip_id,service_id
downward,6028,weekday
downward,6029,weekday
downward,6030,weekday
downward,6031,weekday
downward,6032,weekday
downward,6033,weekday
downward,6034,weekday
downward,6035,weekday
downward,6036,weekday
downward,6037,weekday
downward,6038,weekday
downward,6039,weekday
downward,6040,weekday
downward,6041,weekday
downward,6042,weekday
downward,6043,weekday
downward,6044,weekday
downward,6045,weekday
downward,6046,weekday
downward,6047,weekday
downward,6048,weekday
downward,6049,weekday
downward,6050,weekday
downward,6051,weekday
downward,6052,weekday
downward,6053,weekday
downward,6054,weekday
downward,6055,weekday
downward,6056,weekday
downward,6057,weekday
downward,6058,weekday
downward,6059,weekday
downward,6060,weekday
downward,6061,weekday
downward,6062,weekday
downward,6063,weekday
downward,6064,weekday
downward,6065,weekday
downward,6066,weekday
downward,6067,weekday
downward,6068,weekday
downward,6069,weekday
downward,6070,weekday
downward,6071,weekday
downward,6072,weekday
downward,6073,weekday
downward,6074,weekday
downward,6075,weekday
downward,6076,weekday
downward,6077,weekday
downward,6078,weekday
downward,6079,weekday
downward,6080,weekday
downward,6081,weekday
downward,6082,weekday
downward,6083,weekday
downward,6084,weekday
downward,6085,weekday
downward,6086,weekday
downward,6087,weekday
downward,6088,weekday
downward,6089,weekday
downward,6090,weekday
downward,6091,weekday
downward,6092,weekday
downward,6093,weekday
downward,6094,weekday
downward,6095,weekday
downward,6096,weekday
downward,6097,weekday
downward,6098,weekday
downward,6099,weekday
downward,6100,weekday
downward,6101,weekday
downward,6102,weekday
downward,6103,weekday
downward,6104,weekday
downward,6105,weekday
downward,6106,weekday
downward,6107,weekday
downward,6108,weekday
downward,6109,weekday
downward,6110,weekday
downward,6111,weekday
downward,6112,weekday
downward,6113,weekday
downward,6114,weekday
downward,6115,weekday
downward,6116,weekday
downward,6117,weekday
downward,6118,weekday
downward,6119,weekday
downward,6120,weekday
downward,6121,weekday
downward,6122,weekday
downward,6123,weekday
downward,6124,weekday
downward,6125,weekday
downward,6126,weekday
downward,6127,weekday
downward,6128,weekday
downward,6129,weekday
downward,6130,weekday
downward,6131,weekday
downward,6132,weekday
downward,6133,weekday
downward,6134,weekday
downward,6135,weekday
downward,6136,weekday
downward,6137,weekday
downward,6138,weekday
downward,6139,weekday
