stop_id,stop_name,stop_lat,stop_lon
81,Botanical Garden,28.564198,77.334656
161,Okhla Bird Sanctuary,28.552816,77.321564
162,Kalindi Kunj,28.542835,77.310173
163,Jasola Vihar Shaheen Bagh,28.546005,77.296715
164,Okhla Vihar,28.561255,77.291916
165,Jamia Millia Islamia,28.562944,77.286209
166,Sukhdev Vihar,28.559887,77.275116
167,Okhla NSIC,28.554575,77.26487
131,Kalkaji Mandir,28.549532,77.258789
182,Nehru Enclave,28.545856,77.25116
183,Greater Kailash,28.541836,77.238243
184,Chirag Delhi,28.541229,77.229385
185,Panchsheel Park,28.542339,77.220512
59,Hauz Khas,28.543346,77.206673
